Date,last price
5/22/2008, 5.65 
5/23/2008, 5.65 
5/26/2008, 5.70 
5/27/2008, 5.75 
5/28/2008, 5.65 
5/29/2008, 5.75 
5/30/2008, 5.50 
6/2/2008, 5.60 
6/3/2008, 5.65 
6/4/2008, 5.75 
6/5/2008, 5.75 
6/6/2008, 5.70 
6/9/2008, 5.70 
6/10/2008, 5.65 
6/11/2008, 5.55 
6/12/2008, 5.70 
6/13/2008, 5.65 
6/16/2008, 5.70 
6/17/2008, 5.70 
6/18/2008, 5.65 
6/19/2008, 5.65 
6/20/2008, 5.55 
6/23/2008, 5.60 
6/24/2008, 5.50 
6/25/2008, 5.40 
6/26/2008, 5.45 
6/27/2008, 5.35 
6/30/2008, 5.35 
7/2/2008, 5.30 
7/3/2008, 5.15 
7/4/2008, 5.25 
7/7/2008, 5.25 
7/8/2008, 5.45 
7/9/2008, 5.45 
7/10/2008, 5.30 
7/11/2008, 5.30 
7/14/2008, 5.15 
7/15/2008, 5.10 
7/16/2008, 5.00 
7/18/2008, 4.80 
7/21/2008, 5.00 
7/22/2008, 4.85 
7/23/2008, 4.95 
7/24/2008, 4.95 
7/25/2008, 4.88 
7/28/2008, 4.90 
7/29/2008, 4.85 
7/30/2008, 4.93 
7/31/2008, 4.90 
8/1/2008, 4.93 
8/4/2008, 4.90 
8/5/2008, 4.93 
8/6/2008, 4.93 
8/7/2008, 5.05 
8/8/2008, 4.95 
8/11/2008, 5.00 
8/13/2008, 5.00 
8/14/2008, 5.45 
8/15/2008, 5.45 
8/18/2008, 5.40 
8/19/2008, 5.40 
8/20/2008, 5.55 
8/21/2008, 5.45 
8/22/2008, 5.35 
8/25/2008, 5.30 
8/26/2008, 5.35 
8/27/2008, 5.45 
8/28/2008, 5.50 
8/29/2008, 5.40 
9/1/2008, 5.45 
9/2/2008, 5.35 
9/3/2008, 5.40 
9/4/2008, 5.25 
9/5/2008, 5.25 
9/8/2008, 5.50 
9/9/2008, 5.40 
9/10/2008, 5.45 
9/11/2008, 5.40 
9/12/2008, 5.45 
9/15/2008, 5.45 
9/16/2008, 5.30 
9/17/2008, 5.30 
9/18/2008, 5.30 
9/19/2008, 5.40 
9/22/2008, 5.45 
9/23/2008, 5.30 
9/24/2008, 5.30 
9/25/2008, 5.45 
9/26/2008, 5.40 
9/29/2008, 5.35 
9/30/2008, 5.40 
10/1/2008, 5.35 
10/2/2008, 5.45 
10/3/2008, 5.40 
10/6/2008, 5.35 
10/7/2008, 5.25 
10/8/2008, 4.95 
10/9/2008, 5.05 
10/10/2008, 4.73 
10/13/2008, 4.88 
10/14/2008, 4.98 
10/15/2008, 4.78 
10/16/2008, 4.78 
10/17/2008, 4.85 
10/20/2008, 4.78 
10/21/2008, 4.83 
10/22/2008, 4.75 
10/24/2008, 4.63 
10/27/2008, 4.43 
10/28/2008, 3.98 
10/29/2008, 3.50 
10/30/2008, 3.75 
10/31/2008, 3.85 
11/3/2008, 4.70 
11/4/2008, 4.95 
11/5/2008, 4.90 
11/6/2008, 4.90 
11/7/2008, 4.90 
11/10/2008, 4.88 
11/11/2008, 4.90 
11/12/2008, 4.83 
11/13/2008, 5.00 
11/14/2008, 5.10 
11/17/2008, 5.35 
11/18/2008, 5.15 
11/19/2008, 5.20 
11/20/2008, 5.05 
11/21/2008, 5.25 
11/24/2008, 5.30 
11/25/2008, 5.30 
11/26/2008, 5.30 
11/27/2008, 5.00 
11/28/2008, 5.30 
12/1/2008, 5.25 
12/2/2008, 5.40 
12/3/2008, 5.75 
12/4/2008, 5.80 
12/8/2008, 6.10 
12/9/2008, 5.95 
12/11/2008, 5.70 
12/12/2008, 5.55 
12/15/2008, 5.45 
12/16/2008, 5.30 
12/17/2008, 5.55 
12/18/2008, 5.80 
12/19/2008, 5.60 
12/22/2008, 5.65 
12/23/2008, 5.80 
12/24/2008, 5.90 
12/25/2008, 6.15 
12/26/2008, 6.10 
12/29/2008, 6.10 
12/30/2008, 6.15 
1/5/2009, 6.30 
1/6/2009, 6.25 
1/7/2009, 5.85 
1/8/2009, 5.90 
1/9/2009, 5.95 
1/12/2009, 5.90 
1/13/2009, 5.75 
1/14/2009, 5.70 
1/15/2009, 5.65 
1/16/2009, 5.80 
1/19/2009, 5.70 
1/20/2009, 5.80 
1/21/2009, 5.75 
1/22/2009, 5.70 
1/23/2009, 5.75 
1/26/2009, 5.75 
1/27/2009, 5.75 
1/28/2009, 5.65 
1/29/2009, 5.60 
1/30/2009, 5.60 
2/2/2009, 5.60 
2/3/2009, 5.75 
2/4/2009, 5.85 
2/5/2009, 5.85 
2/6/2009, 5.90 
2/10/2009, 5.95 
2/11/2009, 6.05 
2/12/2009, 5.95 
2/13/2009, 6.05 
2/16/2009, 6.05 
2/17/2009, 6.15 
2/18/2009, 6.45 
2/19/2009, 6.40 
2/20/2009, 6.10 
2/23/2009, 6.15 
2/24/2009, 6.30 
2/25/2009, 6.30 
2/26/2009, 6.10 
2/27/2009, 6.05 
3/2/2009, 6.05 
3/3/2009, 6.25 
3/4/2009, 6.35 
3/5/2009, 6.40 
3/6/2009, 6.35 
3/9/2009, 6.20 
3/10/2009, 6.25 
3/11/2009, 6.20 
3/12/2009, 5.90 
3/13/2009, 6.10 
3/16/2009, 6.15 
3/17/2009, 6.10 
3/18/2009, 6.15 
3/19/2009, 6.20 
3/20/2009, 6.15 
3/23/2009, 6.25 
3/24/2009, 6.25 
3/25/2009, 6.20 
3/26/2009, 6.20 
3/27/2009, 6.25 
3/30/2009, 6.15 
3/31/2009, 6.30 
4/1/2009, 6.25 
4/2/2009, 6.35 
4/3/2009, 6.20 
4/7/2009, 6.05 
4/8/2009, 6.15 
4/9/2009, 6.00 
4/10/2009, 6.15 
4/16/2009, 5.90 
4/17/2009, 5.85 
4/20/2009, 5.85 
4/21/2009, 5.95 
4/22/2009, 5.90 
4/23/2009, 5.95 
4/24/2009, 5.95 
4/27/2009, 6.00 
4/28/2009, 6.05 
4/29/2009, 6.10 
4/30/2009, 6.25 
5/4/2009, 6.40 
5/6/2009, 6.40 
5/7/2009, 6.40 
5/11/2009, 6.20 
5/12/2009, 6.35 
5/13/2009, 6.90 
5/14/2009, 6.45 
5/15/2009, 6.60 
5/18/2009, 6.55 
5/19/2009, 6.60 
5/20/2009, 6.60 
5/21/2009, 6.55 
5/22/2009, 7.00 
5/25/2009, 6.75 
5/26/2009, 6.90 
5/27/2009, 7.45 
5/28/2009, 7.45 
5/29/2009, 7.25 
6/1/2009, 7.60 
6/2/2009, 7.40 
6/3/2009, 7.55 
6/4/2009, 7.75 
6/5/2009, 8.20 
6/8/2009, 8.10 
6/9/2009, 8.15 
6/10/2009, 8.20 
6/11/2009, 8.25 
6/12/2009, 8.30 
6/15/2009, 8.60 
6/16/2009, 8.25 
6/17/2009, 7.95 
6/18/2009, 7.80 
6/19/2009, 8.10 
6/22/2009, 8.15 
6/23/2009, 8.25 
6/24/2009, 8.35 
6/25/2009, 8.75 
6/26/2009, 8.65 
6/29/2009, 8.50 
6/30/2009, 8.55 
7/2/2009, 8.10 
7/3/2009, 7.90 
7/8/2009, 8.05 
7/9/2009, 8.20 
7/10/2009, 8.05 
7/13/2009, 8.00 
7/14/2009, 8.10 
7/15/2009, 8.25 
7/16/2009, 8.35 
7/17/2009, 8.30 
7/20/2009, 8.50 
7/21/2009, 8.35 
7/22/2009, 8.15 
7/23/2009, 8.25 
7/24/2009, 8.10 
7/27/2009, 8.10 
7/28/2009, 8.10 
7/29/2009, 8.20 
7/30/2009, 8.35 
7/31/2009, 8.35 
8/3/2009, 8.35 
8/4/2009, 8.30 
8/5/2009, 8.35 
8/6/2009, 8.50 
8/7/2009, 8.45 
8/10/2009, 8.45 
8/11/2009, 8.45 
8/13/2009, 8.85 
8/14/2009, 8.95 
8/17/2009, 8.50 
8/18/2009, 8.55 
8/19/2009, 8.50 
8/20/2009, 8.50 
8/21/2009, 8.45 
8/24/2009, 8.45 
8/25/2009, 8.40 
8/26/2009, 8.35 
8/27/2009, 8.35 
8/28/2009, 8.35 
8/31/2009, 8.45 
9/1/2009, 8.60 
9/2/2009, 8.55 
9/3/2009, 8.75 
9/4/2009, 8.70 
9/7/2009, 8.70 
9/8/2009, 8.75 
9/9/2009, 8.60 
9/10/2009, 8.75 
9/11/2009, 8.85 
9/14/2009, 8.75 
9/15/2009, 9.00 
9/16/2009, 9.20 
9/17/2009, 9.45 
9/18/2009, 9.45 
9/21/2009, 9.40 
9/22/2009, 9.65 
9/23/2009, 9.90 
9/24/2009, 10.10 
9/25/2009, 10.05 
9/28/2009, 9.80 
9/29/2009, 10.10 
9/30/2009, 10.05 
10/1/2009, 9.95 
10/2/2009, 10.05 
10/5/2009, 9.95 
10/6/2009, 10.00 
10/7/2009, 10.00 
10/8/2009, 9.95 
10/9/2009, 9.95 
10/12/2009, 10.15 
10/13/2009, 9.95 
10/14/2009, 9.95 
10/15/2009, 9.25 
10/16/2009, 9.60 
10/19/2009, 9.55 
10/20/2009, 9.50 
10/21/2009, 9.45 
10/22/2009, 9.30 
10/26/2009, 9.15 
10/27/2009, 9.40 
10/28/2009, 9.35 
